# frequency,filingStatus,variant,minCents,maxCents,taxCents
# Auto-generated from IRS Pub. 15-T 2025 wage-bracket biweekly table.
frequency,filingStatus,variant,minCents,maxCents,taxCents
BIWEEKLY,SINGLE,STANDARD,68500,70000,1200
BIWEEKLY,SINGLE,STEP2_CHECKBOX,68500,70000,4400
BIWEEKLY,MARRIED,STANDARD,70000,71500,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,70000,71500,1300
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,70000,71500,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,70000,71500,2700
BIWEEKLY,SINGLE,STANDARD,70000,71500,1300
BIWEEKLY,SINGLE,STEP2_CHECKBOX,70000,71500,4600
BIWEEKLY,MARRIED,STANDARD,71500,73000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,71500,73000,1500
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,71500,73000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,71500,73000,2900
BIWEEKLY,SINGLE,STANDARD,71500,73000,1500
BIWEEKLY,SINGLE,STEP2_CHECKBOX,71500,73000,4700
BIWEEKLY,MARRIED,STANDARD,73000,74500,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,73000,74500,1600
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,73000,74500,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,73000,74500,3000
BIWEEKLY,SINGLE,STANDARD,73000,74500,1600
BIWEEKLY,SINGLE,STEP2_CHECKBOX,73000,74500,4900
BIWEEKLY,MARRIED,STANDARD,74500,76000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,74500,76000,1800
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,74500,76000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,74500,76000,3200
BIWEEKLY,SINGLE,STANDARD,74500,76000,1800
BIWEEKLY,SINGLE,STEP2_CHECKBOX,74500,76000,5100
BIWEEKLY,MARRIED,STANDARD,76000,77500,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,76000,77500,1900
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,76000,77500,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,76000,77500,3400
BIWEEKLY,SINGLE,STANDARD,76000,77500,1900
BIWEEKLY,SINGLE,STEP2_CHECKBOX,76000,77500,5300
BIWEEKLY,MARRIED,STANDARD,77500,79000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,77500,79000,2100
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,77500,79000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,77500,79000,3500
BIWEEKLY,SINGLE,STANDARD,77500,79000,2100
BIWEEKLY,SINGLE,STEP2_CHECKBOX,77500,79000,5500
BIWEEKLY,MARRIED,STANDARD,79000,80500,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,79000,80500,2200
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,79000,80500,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,79000,80500,3700
BIWEEKLY,SINGLE,STANDARD,79000,80500,2200
BIWEEKLY,SINGLE,STEP2_CHECKBOX,79000,80500,5600
BIWEEKLY,MARRIED,STANDARD,80500,82000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,80500,82000,2400
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,80500,82000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,80500,82000,3900
BIWEEKLY,SINGLE,STANDARD,80500,82000,2400
BIWEEKLY,SINGLE,STEP2_CHECKBOX,80500,82000,5800
BIWEEKLY,MARRIED,STANDARD,82000,83500,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,82000,83500,2500
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,82000,83500,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,82000,83500,4100
BIWEEKLY,SINGLE,STANDARD,82000,83500,2500
BIWEEKLY,SINGLE,STEP2_CHECKBOX,82000,83500,6000
BIWEEKLY,MARRIED,STANDARD,83500,85000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,83500,85000,2700
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,83500,85000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,83500,85000,4300
BIWEEKLY,SINGLE,STANDARD,83500,85000,2700
BIWEEKLY,SINGLE,STEP2_CHECKBOX,83500,85000,6200
BIWEEKLY,MARRIED,STANDARD,85000,86500,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,85000,86500,2800
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,85000,86500,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,85000,86500,4400
BIWEEKLY,SINGLE,STANDARD,85000,86500,2800
BIWEEKLY,SINGLE,STEP2_CHECKBOX,85000,86500,6400
BIWEEKLY,MARRIED,STANDARD,86500,88000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,86500,88000,3000
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,86500,88000,100
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,86500,88000,4600
BIWEEKLY,SINGLE,STANDARD,86500,88000,3000
BIWEEKLY,SINGLE,STEP2_CHECKBOX,86500,88000,6500
BIWEEKLY,MARRIED,STANDARD,88000,89500,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,88000,89500,3100
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,88000,89500,200
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,88000,89500,4800
BIWEEKLY,SINGLE,STANDARD,88000,89500,3100
BIWEEKLY,SINGLE,STEP2_CHECKBOX,88000,89500,6700
BIWEEKLY,MARRIED,STANDARD,89500,91000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,89500,91000,3300
